"matrix_item_id","item_label","genre","selection_rate_pct","corrected_item_total_corr","dim05_cfa_loading_full","irt06_2pl_a","irt06_2pl_b","irt06_keep_drop_review","irt06_rationale"
"A010","Jane Austen","Classics",86.2,0.416631055193866,0.6876,1.75990238979626,-1.53172234980133,"keep",""
"A002","Donna Tartt","Modern/Literary",30.2,0.554989282851844,0.7338,1.75874751683527,0.71117477137039,"keep",""
"A067","Dan Bruwn","Detective/Thriller",75.7,0.510687638872127,0.6916,1.69350068345882,-1.008614337714,"keep",""
"A047","Alexandra Marinina","Detective/Thriller",58.7,0.552272215985123,0.7056,1.62093415175996,-0.340715112715657,"keep",""
"A015","Valentin Rasputin","SovLit",51.9,0.539454454565094,0.7048,1.59728730635918,-0.0896740597011805,"keep",""
"A034","Arthur Haley","Classics",51.2,0.561696052954277,0.6914,1.57482865883597,-0.0630144259720881,"keep",""
"A069","Yu Nesbo","Detective/Thriller",49.7,0.559574548645392,0.6989,1.54090164668945,-0.00871923083732783,"keep",""
"A080","Max Fry","Modern/Literary",90.8,0.338479510932286,0.6069,1.54008949862279,-2.00364792819473,"keep",""
"A003","Archibald Cronin","Classics",13.5,0.407424992186789,0.6526,1.53380386776196,1.66742779764654,"keep",""
"A048","Irwin Welch","Modern/Literary",46.4,0.529643619822975,0.6811,1.48818417524266,0.119780985829065,"keep",""
"A064","Ethel Lilian Voynich","Classics",47.7,0.531944371529804,0.6815,1.47755402642854,0.0701160935446585,"keep",""
"A097","Mikhail Elizarov","Modern/Literary",23.4,0.450030976676869,0.6593,1.4724086444216,1.10413800746245,"keep",""
"A006","James Fenimore Cooper","Classics",65.8,0.499913649363078,0.6635,1.46360471754135,-0.642386569556849,"keep",""
"A045","Art Spiegelman","Modern/Literary",7.6,0.298258414727771,0.5707,1.40551109341729,2.31947114736297,"keep",""
"A049","Tatiana Ustinova","Detective/Thriller",77,0.43736037214576,0.6161,1.39842889234038,-1.17669047390237,"keep",""
"A082","Margaret Mitchell","Classics",68.6,0.480890765084719,0.6534,1.39479389338889,-0.777969749865154,"keep",""
"A039","Henry Miller","Classics",55.7,0.502008304688177,0.6419,1.39457203124685,-0.242132456494374,"keep",""
"A046","Janusz Wisniewski","Modern/Literary",54.9,0.502958201839667,0.6345,1.34882615430308,-0.216424295837344,"keep",""
"A054","Mario Puzo","Detective/Thriller",35.3,0.493007238523981,0.6315,1.34676295833299,0.590060102391235,"keep",""
"A028","Marie - Aude Murai","Modern/Literary",5.8,0.262530238970461,0.5372,1.33432427477055,2.64040735025758,"keep",""
"A017","Narine Abgaryan","Modern/Literary",27.8,0.478592270749716,0.647,1.32652601697596,0.946560300096848,"keep",""
"A018","Boris Vasiliev","SovLit",36,0.476818827768892,0.632,1.27658864785592,0.577180650313488,"keep",""
"A056","Mariam  Petrosyan","Modern/Literary",43.5,0.501682106859916,0.6371,1.27575156144994,0.256352791641413,"keep",""
"A036","Bram Stoker","Fantasy",64.5,0.483247599508202,0.609,1.26466537117699,-0.63537052721913,"keep",""
"A089","Colin McCullough","Classics",34.9,0.474377436756256,0.627,1.22207147012598,0.647189627949522,"keep",""
"A016","Sergey Lukyanenko","Fantasy",83.6,0.365625969445836,0.5518,1.20093654216712,-1.70068196568127,"keep",""
"A032","Ian Fleming","Detective/Thriller",63.2,0.450338365352103,0.581,1.19354725443129,-0.596779550666375,"keep",""
"A004","Gillian Flynn","Detective/Thriller",13.8,0.368905373080994,0.5843,1.17655296877778,1.93027952564258,"keep",""
"A072","Irving Stone","Classics",44.6,0.464878092944015,0.5889,1.17525828637963,0.219981137743258,"keep",""
"A077","Daniel Keyes","Modern/Literary",56.2,0.458301164523262,0.6079,1.13120235164414,-0.294963323743277,"keep",""
"A011","Catherine Vilmon","Detective/Thriller",33.9,0.441259448564733,0.5738,1.1273414231167,0.732727371149962,"keep",""
"A083","Frederik Bucman","Modern/Literary",11.5,0.325867255066828,0.5446,1.12078968360641,2.21339818586509,"keep",""
"A035","Ivan Efremov","SovLit",43,0.448373228230869,0.5719,1.11477408835263,0.302012553012132,"keep",""
"A001","Khaled Hosseini","Modern/Literary",15,0.348322387803259,0.5502,1.0988474835586,1.9205398781278,"keep",""
"A091","Thomas Hardy","Classics",37.9,0.425751623920161,0.548,1.08016799984031,0.551926067522069,"keep",""
"A071","Ayn Rand","Modern/Literary",50.1,0.424742075154929,0.5486,1.05012000841562,-0.0207242543369536,"keep",""
"A092","Markus Zusak","Modern/Literary",26.3,0.388119857097394,0.5515,1.0032301602273,1.22517207370474,"keep",""
"A058","Dmutry Gluhovsky","Sci-Fi",54.2,0.414012768895491,0.5196,0.961598509764488,-0.22300472483668,"keep",""
"A068","Neil Gaiman","Fantasy",66.1,0.399515102711133,0.5191,0.941495526721088,-0.852782446055748,"keep",""
"A008","Paula Hawkins","Detective/Thriller",9.3,0.250249381124856,0.4376,0.932019047543963,2.80499657138788,"keep",""
"A051","Ray Bradbury","Sci-Fi",96.7,0.284830274216676,0.7451,3.14455950023211,-2.03713770876708,"review","extreme endorsement rate"
"A014","Charles Dickens","Classics",97.2,0.256819891328112,0.7158,2.86451517039177,-2.18260821246603,"review","extreme endorsement rate"
"A042","Eric Maria Remarque","Classics",96.4,0.266734125984607,0.6958,2.57577469496859,-2.12731836354503,"review","extreme endorsement rate"
"A020","Jack London","Classics",98,0.213054436788444,0.6406,2.46247028824472,-2.45328193067164,"review","extreme endorsement rate"
"A029","Arthur Conan Doyle","Classics",99.3,0.133156985287486,0.4965,2.42456157093956,-2.9431523278768,"review","extreme endorsement rate"
"A043","Alexandre Dumas","Classics",97.2,0.191234714657976,0.5292,1.55933179029583,-2.90382009888906,"review","extreme endorsement rate"
"A044","Agatha Christie","Detective/Thriller",97.2,0.195167871509911,0.5354,1.54907499580302,-2.91575820202933,"review","extreme endorsement rate"
"A076","Yustein Gordier","Modern/Literary",4.5,0.243286377772221,0.5397,1.37211604647744,2.82266199887204,"review","extreme endorsement rate"
"A030","John R.R. Tolkien","Fantasy",96.8,0.197888297697358,0.4951,1.29471999649993,-3.1618916114291,"review","extreme difficulty; extreme endorsement rate"
"A088","Reshad Nuri Gyuntekin","Modern/Literary",5.7,0.197804985879039,0.4115,0.827986172180114,3.76203162456937,"review","extreme difficulty"
"A066","Gregory David Roberts","Modern/Literary",6.1,0.193140796816905,0.3741,0.764408321699999,3.91021961841375,"review","extreme difficulty"
"A031","Lee Bardugo","Fantasy",6.5,0.195729850869269,0.3725,0.735188231229372,3.93566867328072,"review","extreme difficulty"
"A059","Catherine Stokett","Modern/Literary",6,0.173323292628169,0.3407,0.695598230687051,4.27320052418866,"review","extreme difficulty"
