"AIC","SABIC","HQ","BIC","logLik","X2","df","p","nested_comparison"
54517.8483497379,54784.1413521176,54861.627251868,55406.4709619729,-27062.924174869,NA,NA,NA,"2PL_vs_3PL"
54556.6129512176,54956.0524547871,55072.2813044127,55889.54686957,-26984.3064756088,157.235398520381,98,0.000137530937763586,"2PL_vs_3PL"
