"Model","Converged","LogLik","AIC","BIC"
"1PL (Rasch)",TRUE,-27906.101031242,56010.202062484,56459.0471574394
"2PL",TRUE,-27062.924174869,54517.8483497379,55406.4709619729
"3PL",TRUE,-26984.3064756088,54556.6129512176,55889.54686957
