"AIC","SABIC","HQ","BIC","logLik","X2","df","p","nested_comparison"
56010.202062484,56144.7072014411,56183.8454875395,56459.0471574394,-27906.101031242,NA,NA,NA,"1PL_vs_2PL"
54517.8483497379,54784.1413521176,54861.627251868,55406.4709619729,-27062.924174869,1686.35371274607,97,0,"1PL_vs_2PL"
