"irt06_2pl_a","irt06_2pl_b","matrix_item_id","item_label"
1.0988474835586,1.9205398781278,"A001","Khaled Hosseini"
1.75874751683527,0.71117477137039,"A002","Donna Tartt"
1.53380386776196,1.66742779764654,"A003","Archibald Cronin"
1.17655296877778,1.93027952564258,"A004","Gillian Flynn"
3.41617436391273,-0.978028086713918,"A005","Gabriel Garsia Marquez"
1.46360471754135,-0.642386569556849,"A006","James Fenimore Cooper"
2.04929391606458,0.150557353392878,"A007","Henryk Sienkiewicz"
0.932019047543963,2.80499657138788,"A008","Paula Hawkins"
1.91390585210261,-1.93375980543005,"A009","George Orwell"
1.75990238979626,-1.53172234980133,"A010","Jane Austen"
1.1273414231167,0.732727371149962,"A011","Catherine Vilmon"
2.06962417251946,-0.250109862205287,"A012","Vladimir Sorokin"
2.19351704118541,0.53162445195769,"A013","Evgeny Vodolazkin"
2.86451517039177,-2.18260821246603,"A014","Charles Dickens"
1.59728730635918,-0.0896740597011805,"A015","Valentin Rasputin"
1.20093654216712,-1.70068196568127,"A016","Sergey Lukyanenko"
1.32652601697596,0.946560300096848,"A017","Narine Abgaryan"
1.27658864785592,0.577180650313488,"A018","Boris Vasiliev"
2.9952640997538,-0.15514060173601,"A019","William Thackeray"
2.46247028824472,-2.45328193067164,"A020","Jack London"
2.41880228639085,0.0700362524476569,"A021","Victor Erofeev"
1.76641914982517,-0.293382928907954,"A022","Vasily Aksyonov"
1.94701735913529,0.239682794198977,"A023","Arkady Averchenko"
1.82559677798762,0.134683669527835,"A024","Vladimir Voinovich"
0.483902636852472,-2.75464540983958,"A025","George R.R. Martin"
2.03213445239393,0.596163188005526,"A026","Herman Melville"
2.19272097671366,0.0270176809252429,"A027","Mikhail Weller"
1.33432427477055,2.64040735025758,"A028","Marie - Aude Murai"
2.42456157093956,-2.9431523278768,"A029","Arthur Conan Doyle"
1.29471999649993,-3.1618916114291,"A030","John R.R. Tolkien"
0.735188231229372,3.93566867328072,"A031","Lee Bardugo"
1.19354725443129,-0.596779550666375,"A032","Ian Fleming"
1.99892684835204,0.256699653700942,"A033","Pavel Sanaev"
1.57482865883597,-0.0630144259720881,"A034","Arthur Haley"
1.11477408835263,0.302012553012132,"A035","Ivan Efremov"
1.26466537117699,-0.63537052721913,"A036","Bram Stoker"
2.88172971599566,-0.116218901656587,"A037","John Fowles"
2.08403742090007,0.705921042969196,"A038","Alexey Ivanov"
1.39457203124685,-0.242132456494374,"A039","Henry Miller"
2.03363458557108,0.595985797076363,"A040","Guzel Yakhina"
2.25651376213641,-0.890713339661338,"A041","Charlotte Bronte"
2.57577469496859,-2.12731836354503,"A042","Eric Maria Remarque"
1.55933179029583,-2.90382009888906,"A043","Alexandre Dumas"
1.54907499580302,-2.91575820202933,"A044","Agatha Christie"
1.40551109341729,2.31947114736297,"A045","Art Spiegelman"
1.34882615430308,-0.216424295837344,"A046","Janusz Wisniewski"
1.62093415175996,-0.340715112715657,"A047","Alexandra Marinina"
1.48818417524266,0.119780985829065,"A048","Irwin Welch"
1.39842889234038,-1.17669047390237,"A049","Tatiana Ustinova"
3.50251397874201,-0.611582239812349,"A050","Somerset Maugham"
3.14455950023211,-2.03713770876708,"A051","Ray Bradbury"
3.00673093902747,-1.72598325900591,"A052","Haruki Murakami"
3.15384335322866,0.357927335871444,"A053","Milorad Pavic"
1.34676295833299,0.590060102391235,"A054","Mario Puzo"
0.356087454391381,-1.82692761849322,"A055","Andrzej Sapkovski"
1.27575156144994,0.256352791641413,"A056","Mariam  Petrosyan"
1.82828538112318,-0.925720075770113,"A057","Aldous Huxley"
0.961598509764488,-0.22300472483668,"A058","Dmutry Gluhovsky"
0.695598230687051,4.27320052418866,"A059","Catherine Stokett"
2.34809928462594,-0.444774990684652,"A060","Zakhar Prilepin"
1.82559524512775,-0.269699794418225,"A061","Alan Milne"
1.9586863106987,0.0160287950092157,"A062","Daniil Granin"
2.17311126620318,-0.479014948260135,"A063","Chingiz Aitmanov"
1.47755402642854,0.0701160935446585,"A064","Ethel Lilian Voynich"
1.8344257332745,-0.696898643361447,"A065","Harper Lee"
0.764408321699999,3.91021961841375,"A066","Gregory David Roberts"
1.69350068345882,-1.008614337714,"A067","Dan Bruwn"
0.941495526721088,-0.852782446055748,"A068","Neil Gaiman"
1.54090164668945,-0.00871923083732783,"A069","Yu Nesbo"
0.399827610571132,0.679124716977056,"A070","Alane Moore"
1.05012000841562,-0.0207242543369536,"A071","Ayn Rand"
1.17525828637963,0.219981137743258,"A072","Irving Stone"
2.58150120044939,0.153817187912785,"A073","Leonid Andreev"
2.32227162994255,0.113715055696882,"A074","Lyudmila Petrushevskaya"
2.11406942973738,-0.359896450270166,"A075","Victor Astafiev"
1.37211604647744,2.82266199887204,"A076","Yustein Gordier"
1.13120235164414,-0.294963323743277,"A077","Daniel Keyes"
3.39566847718227,-1.47192526572053,"A078","Victor Pelevin"
2.61481994057583,0.772328840300802,"A079","Boris Vian"
1.54008949862279,-2.00364792819473,"A080","Max Fry"
2.68541582769729,-0.340148519230838,"A081","Yury  Olesha"
1.39479389338889,-0.777969749865154,"A082","Margaret Mitchell"
1.12078968360641,2.21339818586509,"A083","Frederik Bucman"
2.02221183811479,0.245396091445952,"A084","Samuel Beckett"
0.492281788253272,-9.84852332352443,"A085","Jules Verne"
2.02020712267378,-1.11425571849873,"A086","Kir Bulychev"
2.68029200622054,0.557624633785665,"A087","Michel Houlleback"
0.827986172180114,3.76203162456937,"A088","Reshad Nuri Gyuntekin"
1.22207147012598,0.647189627949522,"A089","Colin McCullough"
2.55471375773318,-0.320639752622248,"A090","Isaac Babel"
1.08016799984031,0.551926067522069,"A091","Thomas Hardy"
1.0032301602273,1.22517207370474,"A092","Markus Zusak"
1.85178123983723,1.37382598088979,"A093","Lawrense Stern"
2.75231908956614,-0.244900056892462,"A094","Dina Rubina"
2.54711407123523,-1.59794570826412,"A095","Bernard Shaw"
2.17981292080504,-0.463805359506791,"A096","Dmitry Bykov"
1.4724086444216,1.10413800746245,"A097","Mikhail Elizarov"
0.177432365795893,4.39838851194638,"A098","Andrey Belyanin"
