"rowname","AIC","SABIC","HQ","BIC","logLik","X2","df","p","comparison"
"mod_1pl",56010.202062484,56144.7072014411,56183.8454875395,56459.0471574394,-27906.101031242,NA,NA,NA,"1PL_vs_2PL"
"mod_2pl",54517.8483497379,54784.1413521176,54861.627251868,55406.4709619729,-27062.924174869,1686.35371274607,97,0,"1PL_vs_2PL"
"mod_2pl",54517.8483497379,54784.1413521176,54861.627251868,55406.4709619729,-27062.924174869,NA,NA,NA,"2PL_vs_3PL"
"mod_3pl",54556.6129512176,54956.0524547871,55072.2813044127,55889.54686957,-26984.3064756088,157.235398520381,98,0.000137530937763586,"2PL_vs_3PL"
