"group","n","mean_theta","sd_theta","t_statistic","df","p_value"
"Non-humanities",449,-0.152857982878271,0.945581488161895,-8.73800714729841,307.503391660489,1.56208852200907e-16
"Humanities",159,0.551213450909332,0.845974053265935,-8.73800714729841,307.503391660489,1.56208852200907e-16
