"profession","n","mean_theta","sd_theta","kw_chisq","kw_df","p_value"
"Science and Education",217,0.308717386655197,0.842617690069329,59.3262512488864,4,4.01869130830211e-12
"Service Industry",191,-0.0723578291843345,0.989967474069553,59.3262512488864,4,4.01869130830211e-12
"IT and Engineering",115,-0.356426689491808,0.990431516179307,59.3262512488864,4,4.01869130830211e-12
"Art and Culture",49,0.328000196791885,0.93928363162203,59.3262512488864,4,4.01869130830211e-12
"Student/School",19,-0.605916696216587,0.6266344393201,59.3262512488864,4,4.01869130830211e-12
