"variable","Hits","Corrected_ART","Stronger_penalty","Theta"
"Hits",1,0.971246380376898,0.96761295210074,0.993866559485213
"Corrected_ART",0.971246380376898,1,0.99984418325309,0.965813819132817
"Stronger_penalty",0.96761295210074,0.99984418325309,1,0.962195340820855
"Theta",0.993866559485213,0.965813819132817,0.962195340820855,1
