"sex","n","mean_theta","sd_theta","t_statistic","df","p_value"
"F",441,0.0733097560251808,0.930907304548292,2.57019759163328,455.159543250467,0.0104810771410165
"M",247,-0.134753859562823,1.06456283796134,2.57019759163328,455.159543250467,0.0104810771410165
