"age_group","n","mean_theta","sd_theta","F_value","df_group","df_resid","p_value"
"≤25",278,-0.335587158501974,0.846649536898771,20.3286374117607,3,684,1.25305186687913e-12
"26-35",289,0.176251009793173,1.06176399853606,20.3286374117607,3,684,1.25305186687913e-12
"36-50",103,0.327620009020571,0.846465681567301,20.3286374117607,3,684,1.25305186687913e-12
"51+",18,0.425401466627249,0.971049961905246,20.3286374117607,3,684,1.25305186687913e-12
