"variable","Hits","Corrected_ART","Stronger_penalty","Theta"
"Hits",1,0.969123310475217,0.965411658775556,0.984924984013233
"Corrected_ART",0.969123310475217,1,0.999892946826262,0.957601321663199
"Stronger_penalty",0.965411658775556,0.999892946826262,1,0.954122852932522
"Theta",0.984924984013233,0.957601321663199,0.954122852932522,1
